Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2765,3456,20,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1223,1529,20,На складе
Arduino. Большая книга рецептов,Марголис Майкл и др.,BHV,1694,2117,20,На складе
Active Directory глазами хакера,Hacker Ralf,BHV:Глазами Хакера,437,546,20,На складе
Web-сервер глазами хакера,Фленов Михаил Евгеньевич,BHV:Глазами Хакера,614,768,20,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,2877,3596,20,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,978,1223,20,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,819,1024,20,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2610,3263,20,На складе
"Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным",Правдина Елена Владиславовна,Бомбора:Книги-драйверы,666,854,22,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,1836,2295,20,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,287,359,20,На складе
